N33A5Q04666,SFPPLUS,C1_SMC_NE8K_1_HQ,GigabitEthernet0/4/0,C1_SMC_NE8K_1_HQ 10GE0/4/0-to-C1_HQ_SMC_NE8KM14_2 10GE0/5/1,Ethernet,-2.69,--,--,Normal,-1,-9.9,-2.81,--,--,Normal,-1,-7.3,MultiMode,10000,850,300,LC,Hisense,Unknown,--,--,--,LTF8502-BC+,--,--,34060494,10GBase-SR,,C1_SMC_NE8K_1_HQ-GigabitEthernet0/4/0,,IP Access SMC 2,Ph#4,IP Access SMC 2,Match,
HC211200832273,SFPPLUS,C1_DC_NE08_1_HQ,GigabitEthernet0/1/0,FDI DC,Ethernet,-40,--,--,Critical Alert,0.49,-14.4,-40,--,--,Critical Alert,0.49,-8.19,SingleMode,10000,1310,10000,LC,WTD,Unknown,--,--,--,RTXM228-401,--,--,--,10GBase-LR,,C1_DC_NE08_1_HQ-GigabitEthernet0/1/0,,#N/A,#N/A,IP Access Data Center 1,#N/A,
N33A4Q24805,SFPPLUS,C1_DC_NE08_1_HQ,GigabitEthernet0/2/0,C1_ACN1_L069=C1_DC_NE08_1_HQ 10GE0/2/0-to-C1_DC_NE8K_1_HQ 10GE0/4/0,Ethernet,-4.28,--,--,Normal,-1,-9.9,-2.76,--,--,Normal,-1,-7.3,MultiMode,10000,850,300,LC,Hisense,Unknown,--,--,--,LTF8502-BC+,--,--,--,10GBase-SR,,C1_DC_NE08_1_HQ-GigabitEthernet0/2/0,, Data Center 1,Ph#4,IP Access Data Center 1,Not Match,
MA19370122008,SFPPLUS,C1_DC_NE08_1_HQ,GigabitEthernet0/3/0,C1_DC_NE08_1 Ten0/1/0-to-C1_HQ_EO_NE08_1 Ten0/1/0,Ethernet,-6.27,--,--,Normal,0.49,-14.4,-3.28,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,C1_DC_NE08_1_HQ-GigabitEthernet0/3/0,,#N/A,#N/A,IP Access Data Center 1,#N/A,
MB20181012707,SFPPLUS,C1_DC_NE08_1_HQ,GigabitEthernet0/4/0,C1_ACN1_L062=C1_DC_NE08_1_HQ 10GE0/4/0-to-C1_SMC_NE08_1_HQ 10GE0/2/0,Ethernet,-6.02,--,--,Normal,0.49,-14.4,-3.34,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,C1_DC_NE08_1_HQ-GigabitEthernet0/4/0,,IP Access Data Center 2,Ph#4,IP Access Data Center 1,Not Match,
BP195300550278,SFPPLUS,New_C2_EO_LES_NE08_1,GigabitEthernet0/3/0,C2_ACN10_L055=C2_EO_LES_NE08_1 10GE0/3/0-to-C2_SS_CTB_NE8K_1 10GE0/6/0,Ethernet,-8.55,--,--,Normal,-7,-23.97,1.43,--,--,Normal,4,0,SingleMode,10000,1550,80000,LC,WTD,Unknown,--,--,--,RTXM228-411-C45,--,--,--,10GBase-ZX,,New_C2_EO_LES_NE08_1-GigabitEthernet0/3/0,,กฟส.แหลมสิงห์,Ph#2,กฟส.แหลมสิงห์,Match,
BP195300550065,SFPPLUS,New_C2_EO_LES_NE08_1,GigabitEthernet0/4/0,C2_ACN4_L015=C2_EO_LES_NE08_1 10GE0/4/0-to-C2_EO_KLG_NE08_1 10GE0/2/1,Ethernet,-11.47,--,--,Normal,-7,-23.97,1.38,--,--,Normal,4,0,SingleMode,10000,1550,80000,LC,WTD,Unknown,--,--,--,RTXM228-411-C45,--,--,--,10GBase-ZX,,New_C2_EO_LES_NE08_1-GigabitEthernet0/4/0,,กฟส.แหลมสิงห์,Ph#2,กฟส.แหลมสิงห์,Match,
MB20181211253,SFPPLUS,New_C1_EO_WSB_NE8K_1,GigabitEthernet0/3/0,C1_ACN6_L033=C1_WH_WSB_NE8K_1 10GE0/3/0-to-C1_SS_WYA_NE08_1 10GE0/2/0,Ethernet,-16.16,--,--,Critical Alert,0.49,-14.4,-3.35,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,34060742,10GBase-LR,,New_C1_EO_WSB_NE8K_1-GigabitEthernet0/3/0,,กฟย.วังสมบูรณ์,Ph#4,กฟย.วังสมบูรณ์,Match,
MB20190082244,SFPPLUS,New_C1_EO_WSB_NE8K_1,GigabitEthernet0/4/0,C1_ACN6_L034=C1_WH_WSB_NE8K_1 10GE0/4/0-to-C1_SS_WYA_NE08_1 10GE0/2/1,Ethernet,-5.23,--,--,Normal,0.49,-14.4,-3.32,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,34060742,10GBase-LR,,New_C1_EO_WSB_NE8K_1-GigabitEthernet0/4/0,,กฟย.วังสมบูรณ์,Ph#4,กฟย.วังสมบูรณ์,Match,
EB200300251334,SFPPLUS,C1_SS_PJB_NE08_1,GigabitEthernet0/2/0,C1_ACN4_L053=C1_SS_PJB_NE08_1 10GE0/2/0-to-C1_EO_NDN_NE8K_1 10GE0/4/0,Ethernet,-9.34,--,--,Normal,-1,-15.8,0.02,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,WTD,Unknown,--,--,--,RTXM228-410,--,--,--,10GBase-ER,,C1_SS_PJB_NE08_1-GigabitEthernet0/2/0,,สฟฟ.พระพุทธบาท 2,Ph#3,สฟฟ.พระพุทธบาท 2,Match,
EB202000270344,SFPPLUS,C1_SS_PJB_NE08_1,GigabitEthernet0/3/0,C1_ACN4_L043=C1_SS_PJB_NE08_1 10GE0/3/0-to-C1_SS_PKE_NE08_1 10GE0/1/1,Ethernet,-13.88,--,--,Normal,-1,-15.8,0.48,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,WTD,Unknown,--,--,--,RTXM228-410,--,--,--,10GBase-ER,,C1_SS_PJB_NE08_1-GigabitEthernet0/3/0,,สฟฟ.พระพุทธบาท 2,Ph#4,สฟฟ.พระพุทธบาท 2,Match,
EB200300251633,SFPPLUS,C1_SS_PJB_NE08_1,GigabitEthernet0/4/0,C1_ACN4_L030=C1_SS_PJB_NE08_1 10GE0/4/0-to-C1_EO_PJA_NE08_1 10GE0/3/0,Ethernet,-8.26,--,--,Normal,-1,-15.8,0.04,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,WTD,Unknown,--,--,--,RTXM228-410,--,--,--,10GBase-ER,,C1_SS_PJB_NE08_1-GigabitEthernet0/4/0,,สฟฟ.พระพุทธบาท 2,Ph#3,สฟฟ.พระพุทธบาท 2,Match,
EB203300160260,SFPPLUS,New_C1_SS_KLO_NE08_1,GigabitEthernet0/1/0,C1_ACN2_L050=C1_E0_KLO_NE08_1 10GE0/1/0-to-C1_SS_GUN_NE80_1 10GE0/1/0,Ethernet,-7.58,--,--,Normal,-1,-15.8,0.47,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,WTD,Unknown,--,--,--,RTXM228-410,--,--,--,10GBase-ER,,New_C1_SS_KLO_NE08_1-GigabitEthernet0/1/0,,สฟฟ.คลองหลวง,Ph#5,สฟฟ.คลองหลวง,Match,
EB195100162234,SFPPLUS,New_C1_SS_KLO_NE08_1,GigabitEthernet0/2/0,C1_ACN2_L027=C1_SS_KLO_NE08_1 10GE0/2/0-to-C1_SS_KLJ_NE08_1 10GE0/3/0,Ethernet,-6.02,--,--,Normal,-1,-15.8,0.43,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,WTD,Unknown,--,--,--,RTXM228-410,--,--,--,10GBase-ER,,New_C1_SS_KLO_NE08_1-GigabitEthernet0/2/0,,สฟฟ.คลองหลวง,Ph#3,สฟฟ.คลองหลวง,Match,
U7SA3B01297,SFPPLUS,New_C1_SS_KLO_NE08_1,GigabitEthernet0/3/0,C1_ACN2_L011=C1_SS_KLO_NE08_1 10GE0/3/0-to-C1_SS_TYA_NE8K_1 10GE0/5/1,Ethernet,-11,--,--,Normal,-1,-15.8,0.68,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,Hisense,Unknown,--,--,--,LTF1503-BC+,--,--,--,10GBase-ER,,New_C1_SS_KLO_NE08_1-GigabitEthernet0/3/0,,สฟฟ.คลองหลวง,Ph#2,สฟฟ.คลองหลวง,Match,
MA20130290673,SFPPLUS,New_C1_SS_KLO_NE08_1,GigabitEthernet0/4/0,C1_ACN2_L009=C1_SS_KLO_NE08_1 10GE0/4/0-to-C1_EO_KLO_NE08_1 10GE0/3/0,Ethernet,-9.46,--,--,Normal,0.49,-14.4,-3.42,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C1_SS_KLO_NE08_1-GigabitEthernet0/4/0,,สฟฟ.คลองหลวง,Ph#2,สฟฟ.คลองหลวง,Match,
9YT109401483,SFPPLUS,New_C1_EO_KLG_NE08_1,GigabitEthernet0/1/0,C1_ACN2_L036=C1_EO_KLO_NE08_1 10GE0/1/0-to-C1_EO_NNS_NE8K_1 10GE0/3/0,Ethernet,-11.53,--,--,Normal,-7,-24.08,1.19,--,--,Normal,4,0,SingleMode,10000,1550,80000,LC,SumitomoElectric,Unknown,--,--,--,SPP5100ZX-H1,--,--,--,10GBase-ZX,,New_C1_EO_KLG_NE08_1-GigabitEthernet0/1/0,,กฟอ.คลองหลวง,Ph#4,กฟอ.คลองหลวง,Match,
EB195100162235,SFPPLUS,New_C1_EO_KLG_NE08_1,GigabitEthernet0/2/0,C1_ACN2_L023=C1_EO_KLO_NE08_1 10GE0/2/0-to-C1_SS_KIU_NE08_1 10GE0/1/1,Ethernet,-2.78,--,--,Normal,-1,-15.8,0.51,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,WTD,Unknown,--,--,--,RTXM228-410,--,--,--,10GBase-ER,,New_C1_EO_KLG_NE08_1-GigabitEthernet0/2/0,,กฟอ.คลองหลวง,Ph#3,กฟอ.คลองหลวง,Match,
MA20130500418,SFPPLUS,New_C1_EO_KLG_NE08_1,GigabitEthernet0/3/0,C1_ACN2_L009=C1_EO_KLO_NE08_1 10GE0/3/0-to-C1_SS_KLO_NE08_1 10GE0/4/0,Ethernet,-11.17,--,--,Normal,0.49,-14.4,-3.27,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C1_EO_KLG_NE08_1-GigabitEthernet0/3/0,,กฟอ.คลองหลวง,Ph#2,กฟอ.คลองหลวง,Match,
U7SA3B00010,SFPPLUS,New_C1_EO_KLG_NE08_1,GigabitEthernet0/4/0,C1_ACN2_L010=C1_EO_KLO_NE08_1 10GE0/4/0-to-C1_EO_RST_NE08_2 10GE0/2/0,Ethernet,-10.67,--,--,Normal,-1,-15.8,-0.36,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,Hisense,Unknown,--,--,--,LTF1503-BC+,--,--,--,10GBase-ER,,New_C1_EO_KLG_NE08_1-GigabitEthernet0/4/0,,กฟอ.คลองหลวง,Ph#2,กฟอ.คลองหลวง,Match,
MA20153011442,SFPPLUS,New_C1_SS_BKU_NE08_1,GigabitEthernet0/3/0,C1_ACN1_L051=C1_SS_BKU_NE08_1 10GE0/3/0-to-C1_SS_BKA_NE08_1 10GE0/2/0,Ethernet,-6.54,--,--,Normal,0.49,-14.4,-3.32,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C1_SS_BKU_NE08_1-GigabitEthernet0/3/0,,สฟฟ.บางขันธ์ 2 (ช),Ph#3,สฟฟ.บางขันธ์ 2 (ช),Match,
MA20151710119,SFPPLUS,New_C1_SS_BKU_NE08_1,GigabitEthernet0/4/0,C1_ACN1_L052=C1_SS_BKU_NE08_1 10GE0/4/0-to-C1_EO_RST_NE08_3 10GE0/1/0,Ethernet,-8.47,--,--,Normal,0.49,-14.4,-3.28,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C1_SS_BKU_NE08_1-GigabitEthernet0/4/0,,สฟฟ.บางขันธ์ 2 (ช),Ph#3,สฟฟ.บางขันธ์ 2 (ช),Match,
BP195300550862,SFPPLUS,New_C3_EO_SPC_NE08_1,GigabitEthernet0/1/0,C3_ACN1_L026=C3_EO_SPC_NE08_1 10GE0/1/0-to-C3_SS_SMG_NE08_1 10GE0/1/0,Ethernet,-9.47,--,--,Normal,-7,-23.97,1.39,--,--,Normal,4,0,SingleMode,10000,1550,80000,LC,WTD,Unknown,--,--,--,RTXM228-411-C45,--,--,--,10GBase-ZX,,New_C3_EO_SPC_NE08_1-GigabitEthernet0/1/0,,กฟส.ศรีประจันต์,Ph#2,กฟส.ศรีประจันต์,Match,
U7SA3B01253,SFPPLUS,New_C3_EO_SPC_NE08_1,GigabitEthernet0/1/1,C3_ACN1_L027=C3_EO_SPC_NE08_1 10GE0/1/1-to-C3_EO_SPI_NE08_1 10GE0/3/0,Ethernet,-6.44,--,--,Normal,-1,-15.8,-0.43,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,Hisense,Unknown,--,--,--,LTF1503-BC+,--,--,--,10GBase-ER,,New_C3_EO_SPC_NE08_1-GigabitEthernet0/1/1,,กฟส.ศรีประจันต์,Ph#2,กฟส.ศรีประจันต์,Match,
MB20201842727,SFPPLUS,New_C3_EO_SPC_NE08_1,GigabitEthernet0/2/0,C3_ACN1_L052=C3_EO_SPC_NE08_1 10GE0/2/0-to-C3_SS_SPC_NE8K_1 10GE0/4/0,Ethernet,-4.66,--,--,Normal,0.49,-14.4,-3.36,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C3_EO_SPC_NE08_1-GigabitEthernet0/2/0,,กฟส.ศรีประจันต์,Ph#4,กฟส.ศรีประจันต์,Match,
MB20201842728,SFPPLUS,New_C3_EO_SPC_NE08_1,GigabitEthernet0/2/1,C3_ACN1_L053=C3_EO_SPC_NE08_1 10GE0/2/1-to-C3_SS_SPC_NE8K_1 10GE0/3/0,Ethernet,-4.24,--,--,Normal,0.49,-14.4,-3.45,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C3_EO_SPC_NE08_1-GigabitEthernet0/2/1,,กฟส.ศรีประจันต์,Ph#4,กฟส.ศรีประจันต์,Match,
U7SA3B01121,SFPPLUS,New_C3_EO_SPC_NE08_1,GigabitEthernet0/3/0,C3_ACN1_L023=C3_EO_SPC_NE08_1 10GE0/3/0-to-C3_EO_DOA_NE08_1 10GE0/3/0,Ethernet,-9.02,--,--,Normal,-1,-15.8,0.49,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,Hisense,Unknown,--,--,--,LTF1503-BC+,--,--,--,10GBase-ER,,New_C3_EO_SPC_NE08_1-GigabitEthernet0/3/0,,กฟส.ศรีประจันต์,Ph#2,กฟส.ศรีประจันต์,Match,
MB20201844741,SFPPLUS,New_C3_SS_SPC_NE8K_1,GigabitEthernet0/3/0,C3_ACN1_L053=C3_SS_SPC_NE8K_1 10GE0/3/0-to-C3_EO_SPC_NE08_1 10GE0/2/1,Ethernet,-3.31,--,--,Normal,0.49,-14.4,-3.31,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,34060742,10GBase-LR,,New_C3_SS_SPC_NE8K_1-GigabitEthernet0/3/0,,สฟฟ.ศรีประจันต์,Ph#4,สฟฟ.ศรีประจันต์,Match,
MB20201844756,SFPPLUS,New_C3_SS_SPC_NE8K_1,GigabitEthernet0/4/0,C3_ACN1_L052=C3_SS_SPC_NE8K_1 10GE0/4/0-to-C3_EO_SPC_NE08_1 10GE0/2/0,Ethernet,-8.65,--,--,Normal,0.49,-14.4,-3.31,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,34060742,10GBase-LR,,New_C3_SS_SPC_NE8K_1-GigabitEthernet0/4/0,,สฟฟ.ศรีประจันต์,Ph#4,สฟฟ.ศรีประจันต์,Match,
MA20130502469,SFPPLUS,New_C3_SS_DOT_NE08_1,GigabitEthernet0/3/0,C3_ACN2_L017=C3_SS_DOT_NE08_1 10GE0/3/0-to-C3_EO_DOT_NE08_1 10GE0/2/0,Ethernet,-6.19,--,--,Normal,0.49,-14.4,-3.33,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C3_SS_DOT_NE08_1-GigabitEthernet0/3/0,,สฟฟ.ดอนตูม,Ph#2,สฟฟ.ดอนตูม,Match,
BP195300551154,SFPPLUS,New_C3_SS_DOT_NE08_1,GigabitEthernet0/4/0,C3_ACN2_L016=C3_SS_DOT_NE08_1 10GE0/4/0-to-C3_SS_NCB_NE08_1 10GE0/4/0,Ethernet,-7.14,--,--,Normal,-7,-23.97,1.55,--,--,Normal,4,0,SingleMode,10000,1550,80000,LC,WTD,Unknown,--,--,--,RTXM228-411-C45,--,--,--,10GBase-ZX,,New_C3_SS_DOT_NE08_1-GigabitEthernet0/4/0,,สฟฟ.ดอนตูม,Ph#2,สฟฟ.ดอนตูม,Match,
EB201900342668,SFPPLUS,New_C3_EO_ONA_NE8K_1,GigabitEthernet0/3/0,C3_ACN3_L051=C3_EO_ONA_NE8K_1 10GE0/3/0-to-C3_SS_OYK_NE08_1 10GE0/2/0,Ethernet,-5.07,--,--,Normal,-1,-15.8,0.28,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,WTD,Unknown,--,--,--,RTXM228-410,--,--,34060796,10GBase-ER,,New_C3_EO_ONA_NE8K_1-GigabitEthernet0/3/0,,กฟภ.อ้อมน้อย,Ph#4,กฟภ.อ้อมน้อย,Match,
EB201900342672,SFPPLUS,New_C3_EO_ONA_NE8K_1,GigabitEthernet0/4/0,C3_ACN3_L040=C3_EO_ONA_NE8K_1 10GE0/4/0-to-C3_SS_OND_NE08_1 10GE0/3/0,Ethernet,-4.42,--,--,Normal,-1,-15.8,0.16,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,WTD,Unknown,--,--,--,RTXM228-410,--,--,34060796,10GBase-ER,,New_C3_EO_ONA_NE8K_1-GigabitEthernet0/4/0,,กฟภ.อ้อมน้อย,Ph#4,กฟภ.อ้อมน้อย,Match,
MA20130290563,SFPPLUS,New_C2_EO_CCA_NE08_1,GigabitEthernet0/3/0,C2_ACN1_L026=C2_EO_CCA_NE08_1 10GE0/3/0-to-C2_SS_CCA_NE08_1 10GE0/3/0,Ethernet,-5.85,--,--,Normal,0.49,-14.4,-3.33,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C2_EO_CCA_NE08_1-GigabitEthernet0/3/0,,กฟจ.ฉะเชิงเทรา,Ph#2,กฟจ.ฉะเชิงเทรา,Match,
U7SA3B01113,SFPPLUS,New_C2_EO_CCA_NE08_1,GigabitEthernet0/4/0,C2_ACN1_L018=C2_EO_CCA_NE08_1 10GE0/4/0-to-C2_SS_KWA_NE08_1 10GE0/4/0,Ethernet,-7.94,--,--,Normal,-1,-15.8,-0.49,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,Hisense,Unknown,--,--,--,LTF1503-BC+,--,--,--,10GBase-ER,,New_C2_EO_CCA_NE08_1-GigabitEthernet0/4/0,,กฟจ.ฉะเชิงเทรา,Ph#2,กฟจ.ฉะเชิงเทรา,Match,
MA20130501255,SFPPLUS,New_C1_SS_BKT_NE08_1,GigabitEthernet0/3/0,C1_ACN1_L034=C1_SS_BKT_NE08_1 10GE0/3/0-to-C1_SS_BKS_NE08_1 10GE0/2/0,Ethernet,-7.9,--,--,Normal,0.49,-14.4,-3.32,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C1_SS_BKT_NE08_1-GigabitEthernet0/3/0,,สฟฟ.บางกระสั้น 2,Ph#2,สฟฟ.บางกระสั้น 2,Match,
U7SA3B00486,SFPPLUS,New_C1_SS_BKT_NE08_1,GigabitEthernet0/4/0,C1_ACN1_L035=C1_SS_BKT_NE08_1 10GE0/4/0-to-C1_SS_NVA_NE08_1 10GE0/3/0,Ethernet,-12.97,--,--,Normal,-1,-15.8,0.04,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,Hisense,Unknown,--,--,--,LTF1503-BC+,--,--,--,10GBase-ER,,New_C1_SS_BKT_NE08_1-GigabitEthernet0/4/0,,สฟฟ.บางกระสั้น 2,Ph#2,สฟฟ.บางกระสั้น 2,Match,
U7SA3B01211,SFPPLUS,New_C3_SS_SAB_NE08_1,GigabitEthernet0/3/0,C3_ACN3_L029=C3_SS_SAB_NE08_1 10GE0/3/0-to-C3_SS_SAD_NE08_1 10GE0/3/0,Ethernet,-3.41,--,--,Normal,-1,-15.8,0.59,--,--,Normal,4,-4.7,SingleMode,10000,1550,40000,LC,Hisense,Unknown,--,--,--,LTF1503-BC+,--,--,--,10GBase-ER,,New_C3_SS_SAB_NE08_1-GigabitEthernet0/3/0,,สฟฟ.สามพราน 2,Ph#2,สฟฟ.สามพราน 2,Match,
MA20130502657,SFPPLUS,New_C3_SS_SAB_NE08_1,GigabitEthernet0/4/0,C3_ACN3_L030=C3_SS_SAB_NE08_1 10GE0/4/0-to-C3_EO_SAP_NE08_1 10GE0/1/0,Ethernet,-5.07,--,--,Normal,0.49,-14.4,-3.28,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,HG GENUINE,Unknown,--,--,--,MTRS-02X13-G,--,--,--,10GBase-LR,,New_C3_SS_SAB_NE08_1-GigabitEthernet0/4/0,,สฟฟ.สามพราน 2,Ph#2,สฟฟ.สามพราน 2,Match,
HC205200161811,SFPPLUS,C1_WH_RST_NE8K_1,GigabitEthernet0/3/0,C1_ACN1_L084=C1_WH_RST_NE8K_1 10GE0/3/0-to-C1_EO_RST_NE08_1 10GE0/2/0,Ethernet,-5.5,--,--,Normal,0.49,-14.4,-2.48,--,--,Normal,0.49,-8.19,SingleMode,10000,1310,10000,LC,WTD,Unknown,--,--,--,RTXM228-401,--,--,34060742,10GBase-LR,,C1_WH_RST_NE8K_1-GigabitEthernet0/3/0,,คลังพัสดุรังสิต,Ph#5,คลังพัสดุรังสิต,Match,
